exercise_id,exercise_name,exercise_type,body_part,equipment,primary_muscle,secondary_muscle,movement_type,exercise_image
2138,Weighted + Russian Twist,bilateral_simultaneous,abs,body weight,obliques,rectus abdominis,compound,https://apilyfta.com/static/GymvisualPNG/06871101-Russian-Twist_waist_small.png
1455,Weighted + Air Twisting Crunch,bilateral_simultaneous,abs,body weight,obliques,rectus abdominis,compound,https://apilyfta.com/static/GymvisualPNG/00041101-Air-Twisting-Crunch_waist_small.png
3052,Weighted + Hanging Leg Hip Raise,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/17641101-Hanging-Leg-Hip-Raise_Waist_small.png
2317,Weighted + Hanging Leg-Hip Raise,bilateral_simultaneous,abs,dumbbell,rectus abdominis,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/08661101-Weighted-Hanging-leg-hip-raise_Waist_small.png
2247,Weighted + Standing Wheel Rollout,bilateral_simultaneous,abs,wheel roller,rectus abdominis,obliques,compound,https://apilyfta.com/static/GymvisualPNG/07961101-Standing-Wheel-Rollout_Waist_small.png
3687,Weighted + Decline Sit Up,bilateral_simultaneous,abs,weighted,rectus abdominis,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/24491101-Decline-Sit-up-(female)_Hips_small.png
2323,Weighted + Reverse Crunch,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors,isolation,https://apilyfta.com/static/GymvisualPNG/08721101-Reverse-Crunch-m_waist_small.png
1728,Weighted + Decline Crunch,bilateral_simultaneous,abs,body weight,rectus abdominis,obliques,isolation,https://apilyfta.com/static/GymvisualPNG/02771101-Decline-Crunch_waist_small.png
3570,Weighted + Wheel Rollout,bilateral_simultaneous,abs,wheel roller,rectus abdominis,obliques,compound,https://apilyfta.com/static/GymvisualPNG/23321101-Wheel-Rollout-(female)_Waist_small.png
5337,Weighted + Dead Bug,bilateral_simultaneous,abs,weighted,rectus abdominis,hip flexors,isolation,https://apilyfta.com/static/GymvisualPNG/41271101-Weighted-Dead-Bug-(male)_Waist_small.png
2086,Weighted + Oblique Crunches Floor,bilateral_simultaneous,abs,body weight,obliques,rectus abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/06351101-Oblique-Crunches-Floor_waist_small.png
1915,Body Weight + Front Plank With Twist,bilateral_simultaneous,abs,body weight,rectus abdominis,obliques,isolation,https://apilyfta.com/static/GymvisualPNG/04641101-Front-Plank-with-Twist_waist_small.png
2296,Weighted + Russian Twist,bilateral_simultaneous,abs,weighted,obliques,rectus abdominis,compound,https://apilyfta.com/static/GymvisualPNG/08451101-Weighted-Russian-Twist-(legs-up)_waist_small.png
1457,Weighted + Alternate Heel Touchers,bilateral_simultaneous,abs,body weight,obliques,rectus abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/00061101-Alternate-Heel-Touchers_waist-FIX_small.png
2325,Cable + Standing Crunch,bilateral_simultaneous,abs,cable,rectus abdominis,obliques,isolation,https://apilyfta.com/static/GymvisualPNG/08741101-Cable-Standing-Crunch-(with-rope-attachment)_waist_small.png
5311,Weighted + Straight Leg Toe Touch Crunch,bilateral_simultaneous,abs,weighted,rectus abdominis,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/41011101-Weighted-Straight-Leg-Toe-Touch-Crunch-(male)_Waist_small.png
4853,Weighted + Vertical Leg Raise,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors,isolation,https://apilyfta.com/static/GymvisualPNG/36231101-Vertical-Leg-Raise-(on-parallel-bars)-(female)-(VERSION-2)_Hips_small.png
2140,Weighted + Seated Leg Raise,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors,isolation,https://apilyfta.com/static/GymvisualPNG/06891101-Seated-Leg-Raise_waist_small.png
4201,Weighted + Captains Chair Straight Leg Raise,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/29631101-Captains-Chair-Straight-Leg-Raise_Waist_small.png
27369,Weighted + Seated Leg Raise On Floor,bilateral_simultaneous,abs,dumbbell,rectus abdominis,hip flexors,isolation,https://apilyfta.com/static/GymvisualPNG/50231101-Weighted-Seated-Leg-Raise-on-Floor_Waist_small.png
4851,Weighted + Twisting Crunch,bilateral_simultaneous,abs,body weight,obliques,rectus abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/36211101-Twisting-Crunch-(Straight-Arms)-(male)_Waist_small.png
3139,Weighted + Leg Raise Hip Lift,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/18521101-Leg-Raise-Hip-Lift_Waist_small.png
5177,Weighted + Seated Flutter Kick,bilateral_simultaneous,abs,body weight,hip flexors,rectus abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/39621101-Seated-Flutter-Kick_Waist_small.png
1673,Cable + Side Bend,bilateral_simultaneous,abs,cable,obliques,erector spinae,isolation,https://apilyfta.com/static/GymvisualPNG/02221101-Cable-Side-Bend_Waist-FIX_small.png
1583,Weighted + Bent-Knee Lying Twist,bilateral_simultaneous,abs,body weight,obliques,rectus abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/01321101-Bent-knee-Lying-Twist-(female)_Waist-FIX_small.png
2592,Weighted + Lying Leg Raise,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors,isolation,https://apilyfta.com/static/GymvisualPNG/11631101-Lying-Leg-Raise_Waist_small.png
5110,Weighted + Hanging Knees To Elbows,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/38901101-Hanging-Knees-to-Elbows_Waist-FIX_small.png
27963,Weighted + Bicycle Crunch (Male),bilateral_simultaneous,abs,body weight,rectus abdominis,obliques,compound,https://apilyfta.com/static/GymvisualPNG/62111101-Bicycle-Crunch-(male)_Waist_small.png
2312,Cable + Seated Row,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/08611101-Cable-seated-row_Back_small.png
3530,Cable + Wide-Grip Lat Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/22911101-Cable-Wide-Grip-Lat-Pulldown-(female)_Back_small.png
3974,Cable + Lever Reverse Grip Lateral Pulldown,bilateral_simultaneous,back,leverage machine,latissimus dorsi,biceps|teres major|rhomboids,compound,https://apilyfta.com/static/GymvisualPNG/27361101-Lever-Reverse-grip-Lateral-Pulldown-(plate-loaded)_Back_small.png
1857,Dumbbell + Shrug,bilateral_simultaneous,back,dumbbell,trapezius,levator scapulae|rhomboids,isolation,https://apilyfta.com/static/GymvisualPNG/04061101-Dumbbell-Shrug_Back-FIX_small.png
28183,Leverage Machine + Lever Seated Single Leg Squat Calf Raise On Leg Press Machine (Female),bilateral_simultaneous,back,leverage machine,gastrocnemius|soleus,hamstrings,compound,https://apilyfta.com/static/GymvisualPNG/71091101-Lever-Seated-Single-Leg-Squat-Calf-Raise-on-Leg-Press-Machine-(female)_Calves_small.png
1478,Barbell + Bent Over Row,bilateral_simultaneous,back,barbell,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/00271101-Barbell-Bent-Over-Row_Back-FIX_small.png
2640,Cable + Standing Lat Pushdown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|triceps,isolation,https://apilyfta.com/static/GymvisualPNG/12291101-Cable-Standing-Lat-Pushdown-(rope-equipment)_Back_small.png
291,Cable + Close-Grip Front Lat Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,biceps|teres major|rhomboids,compound,https://apilyfta.com/static/GymvisualPNG/10471101-Cable-Close-Grip-Front-Lat-Pulldown_Back_small.png
1690,Cable + Straight Back Seated Row,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/02391101-Cable-Straight-Back-Seated-Row_Back_small.png
215,Weighted + Lever Narrow Grip Seated Row,bilateral_simultaneous,back,weighted,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/05881101-Lever-Narrow-Grip-Seated-Row-(plate-loaded)_Back_small.png
1628,Cable + Lateral Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/01771101-Cable-Lateral-Pulldown-(with-rope-attachment)_Back_small.png
88,Cable + Pushdown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|triceps,isolation,https://apilyfta.com/static/GymvisualPNG/01991101-Cable-Pushdown-(straight-arm)-II_Back_small.png
5336,Barbell + Deadstop Row With Rack,bilateral_simultaneous,back,barbell,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/41261101-Barbell-Deadstop-Row-with-Rack-(male)_Back_small.png
2269,Cable + Twin Handle Parallel Grip Lat Pulldown,bilateral_simultaneous,back,cable,latissimus dorsi,teres major|rhomboids|trapezius,compound,https://apilyfta.com/static/GymvisualPNG/08181101-twin-handle-parallel-grip-lat-pulldown_Back_small.png
